model_name,accuracy,precision_macro,recall_macro,f1_macro,roc_auc,log_loss_value,balanced_accuracy
XGBoost,0.5705882352941176,0.4654578754578755,0.5034131001687375,0.44548472499445557,0.6676825139781903,1.2160152196884155,0.5034131001687375
SVM,0.6058823529411764,0.3999624624624625,0.5297914597815293,0.4555331746322407,0.6797144381351181,0.9371460125377357,0.5297914597815293
Random Forest,0.5764705882352941,0.4463051568314726,0.5077990650810182,0.45150714248359697,0.7023109710996615,0.9308988048210053,0.5077990650810182
Ensemble,0.5764705882352941,0.46990231990231984,0.5097024083448382,0.4506930583277889,0.6747998878371012,1.5474572575511953,0.5097024083448382
