,precision,recall,f1-score,support
Home Win,0.6263736263736264,0.75,0.6826347305389222,76.0
Draw,0.25,0.024390243902439025,0.044444444444444446,41.0
Away Win,0.5333333333333333,0.7547169811320755,0.625,53.0
accuracy,0.5764705882352941,0.5764705882352941,0.5764705882352941,0.5764705882352941
macro avg,0.46990231990231984,0.5097024083448382,0.4506930583277889,170.0
weighted avg,0.5065944839474251,0.5764705882352941,0.5107497749598842,170.0
