iter	Passed	Remaining
398	16249	4113
399	16290	4072
400	16346	4035
401	16397	3997
402	16429	3954
403	16467	3913
404	16506	3871
405	16573	3837
406	16632	3800
407	16694	3764
408	16741	3724
409	16825	3693
410	16864	3652
411	16894	3608
412	16925	3565
413	16970	3525
414	17005	3482
415	17045	3441
416	17075	3398
417	17106	3355
418	17138	3313
419	17179	3272
420	17214	3230
421	17247	3187
422	17283	3146
423	17317	3104
424	17353	3062
425	17385	3020
426	17415	2977
427	17448	2935
428	17480	2893
429	17513	2851
430	17550	2809
431	17604	2771
432	17647	2730
433	17680	2688
434	17714	2647
435	17748	2605
436	17785	2564
437	17958	2542
438	18081	2512
439	18162	2476
440	18203	2435
441	18243	2394
442	18282	2352
443	18322	2310
444	18358	2268
445	18397	2227
446	18431	2185
447	18476	2144
448	18515	2103
449	18548	2060
450	18588	2019
451	18623	1977
452	18662	1936
453	18708	1895
454	18744	1853
455	18778	1811
456	18813	1770
457	18848	1728
458	18877	1686
459	18915	1644
460	18951	1603
461	18982	1561
462	19012	1519
463	19044	1477
464	19076	1435
465	19115	1394
466	19147	1353
467	19182	1311
468	19222	1270
469	19252	1228
470	19286	1187
471	19322	1146
472	19356	1104
473	19386	1063
474	19421	1022
475	19458	981
476	19489	939
477	19523	898
478	19553	857
479	19584	816
480	19618	774
481	19649	733
482	19688	692
483	19717	651
484	19748	610
485	19778	569
486	19807	528
487	19836	487
488	19869	446
489	19900	406
490	19928	365
491	19956	324
492	19988	283
493	20019	243
494	20048	202
495	20078	161
496	20118	121
497	20151	80
498	20180	40
499	20213	0
